Date,Visitor,Home,Away_final_score,Home_final_score,Moneyline_away,Moneyline_home,Opening_spread,Closing_spread,Opening_total,Closing_total,Away_spread_Open,Home_spread_Open,Away_spread_Close,Home_spread_Close,2H_spread,2H_total
2017-10-15,LAChargers,Oakland,17,16,-165,144,4.0,3.0,51.0,47.5,-4.0,4.0,-3.0,3.0,0.5,23.5
2017-10-15,NYGiants,Denver,23,10,-825,575,10.0,13.5,41.0,37.5,-10.0,10.0,-13.5,13.5,7.5,20.5
2017-10-16,Indianapolis,Tennessee,22,36,-291,238,8.0,6.5,49.0,46.5,-8.0,8.0,-6.5,6.5,3.0,24.5
2017-10-19,KansasCity,Oakland,30,31,135,-155,3.0,3.0,47.5,46.0,3.0,-3.0,3.0,-3.0,0.0,24.5
2017-10-22,Tennessee,Cleveland,12,9,220,-270,5.0,6.0,46.5,42.5,5.0,-5.0,6.0,-6.0,3.0,21.0
2017-10-22,Jacksonville,Indianapolis,27,0,142,-165,3.0,3.0,44.5,41.5,3.0,-3.0,3.0,-3.0,0.0,19.5
2017-10-22,Cincinnati,Pittsburgh,14,29,-220,180,6.0,4.0,41.0,40.0,-6.0,6.0,-4.0,4.0,0.0,21.5
2017-10-22,Baltimore,Minnesota,16,24,-255,205,4.5,5.0,39.5,37.5,-4.5,4.5,-5.0,5.0,3.0,18.0
2017-10-22,NYJets,Miami,28,31,-165,142,3.5,3.0,38.5,39.5,-3.5,3.5,-3.0,3.0,3.0,21.0
2017-10-22,TampaBay,Buffalo,27,30,-180,150,3.0,3.0,44.0,46.0,-3.0,3.0,-3.0,3.0,0.0,23.5
2017-10-22,Carolina,Chicago,3,17,135,-155,4.0,3.0,41.0,39.5,4.0,-4.0,3.0,-3.0,4.5,20.0
2017-10-22,NewOrleans,GreenBay,26,17,170,-200,5.5,4.0,48.0,45.5,5.5,-5.5,4.0,-4.0,4.0,23.5
2017-10-22,Arizona,LARams,0,33,-170,145,3.0,3.0,47.5,45.5,-3.0,3.0,-3.0,3.0,0.5,20.5
2017-10-22,Dallas,SanFrancisco,40,10,240,-300,6.0,6.5,47.0,48.5,6.0,-6.0,6.5,-6.5,1.5,22.0
2017-10-22,Seattle,NYGiants,24,7,175,-210,7.0,4.0,39.0,38.5,7.0,-7.0,4.0,-4.0,6.0,19.5
2017-10-22,Denver,LAChargers,0,21,100,-120,1.0,1.0,43.5,41.0,1.0,-1.0,1.0,-1.0,3.0,20.0
2017-10-22,Atlanta,NewEngland,7,23,-145,125,4.5,3.0,53.5,57.0,-4.5,4.5,-3.0,3.0,3.5,28.0
2017-10-23,Washington,Philadelphia,24,34,-250,200,5.0,5.0,48.5,48.5,-5.0,5.0,-5.0,5.0,0.5,24.0
2017-10-26,Miami,Baltimore,0,40,-155,135,3.0,3.0,38.0,38.0,-3.0,3.0,-3.0,3.0,0.5,17.5
2017-10-29,Minnesota,Cleveland,33,16,416,-550,8.5,11.0,37.5,38.0,8.5,-8.5,11.0,-11.0,7.0,20.0
2017-10-29,Chicago,NewOrleans,12,20,-390,310,9.0,7.5,50.0,46.0,-9.0,9.0,-7.5,7.5,2.5,22.0
2017-10-29,Atlanta,NYJets,25,20,249,-306,4.5,6.5,47.0,44.0,4.5,-4.5,6.5,-6.5,6.0,22.5
2017-10-29,Carolina,TampaBay,17,3,-127,107,2.5,1.5,44.0,46.0,-2.5,2.5,-1.5,1.5,2.5,22.0
2017-10-29,SanFrancisco,Philadelphia,10,33,-850,588,13.0,13.0,47.5,45.0,-13.0,13.0,-13.0,13.0,4.5,21.0
