"Urls","headlines","archiveDate"
"http://web.archive.org/web/20200202003954/https://www.espn.com/nfl/","Ravens QB Jackson unanimous pick for NFL MVP","2020-02-02"
"http://web.archive.org/web/20200203062611/https://www.espn.com/nfl/","Chiefs' Reid relishes 1st SB win: 'A great team'","2020-02-03"
"http://web.archive.org/web/20200204040323/https://www.espn.com/nfl/","Mahomes goes to Disney: 'Spoke it into existence'","2020-02-04"
"http://web.archive.org/web/20200205090455/https://www.espn.com/nfl/","Jags to play two London games to boost revenue","2020-02-05"
"http://web.archive.org/web/20200206095100/https://www.espn.com/nfl/","Kelce, Chiefs party with fans at victory parade","2020-02-06"
"http://web.archive.org/web/20200207080511/http://www.espn.com:80/nfl","Rams' Weddle, 6-time Pro Bowl safety, retiring","2020-02-07"
"http://web.archive.org/web/20200208002852/https://www.espn.com/nfl/","Rivera will wait before naming QB for Redskins","2020-02-08"
"http://web.archive.org/web/20200209032908/https://www.espn.com/nfl/","Sources: King set to rejoin Rivera as full-time asst.","2020-02-09"
"http://web.archive.org/web/20200210032147/https://www.espn.com/nfl/","Sources: King set to rejoin Rivera as full-time asst.","2020-02-10"
"http://web.archive.org/web/20200211015800/http://www.espn.com/nfl/","Rivers to enter free agency, ending Chargers run","2020-02-11"
"http://web.archive.org/web/20200212002119/http://www.espn.com/nfl/","Rivers to enter free agency, ending Chargers run","2020-02-12"
"http://web.archive.org/web/20200213062335/https://www.espn.com/nfl/","NFL reinstates Browns' Garrett from suspension","2020-02-13"
"http://web.archive.org/web/20200214122029/https://www.espn.com/nfl/","OTL: Garrett again accuses Rudolph of using slur","2020-02-14"
"http://web.archive.org/web/20200215002739/https://www.espn.com/nfl/","Sources: Broncos, Rams cut combine attendance","2020-02-15"
"http://web.archive.org/web/20200216152415/https://www.espn.com/nfl/","Rudolph: Garrett slur claim a 'bold-faced lie'","2020-02-16"
"http://web.archive.org/web/20200217033426/https://www.espn.com/nfl/","Texans' Watt has 'best day,' marries NWSL's Ohai","2020-02-17"
"http://web.archive.org/web/20200218063646/https://www.espn.com/nfl/","Burrow: Bengals have top pick, I have 'leverage'","2020-02-18"
"http://web.archive.org/web/20200219012215/https://www.espn.com/nfl/","Ex-Panthers TE Olsen agrees to join Seahawks","2020-02-19"
