"Date","Visitor","Home","Away_final_score","Home_final_score","Moneyline_away","Moneyline_home","Opening_spread","Closing_spread","Opening_total","Closing_total","Away_spread_Open","Home_spread_Open","Away_spread_Close","Home_spread_Close","2H_spread","2H_total"
2010-10-03,"NewEngland","NYGiants",17,41,101,-190,1,3.5,3,48.5,"+ 1","- 1","+ 3.5","- 3.5",2.5,24
2010-10-04,"Denver","Miami",14,17,310,-111,39,1,46,39.5,"+ 39","- 39","+ 1","- 1",0,19
2010-10-10,"Jacksonville","Baltimore",31,36,115,-380,7,8,40.5,41.5,"+ 7","- 7","+ 8","- 8",3,20.5
2010-10-10,"KansasCity","Buffalo",26,9,300,-135,1,2.5,44,46.5,"+ 1","- 1","+ 2.5","- 2.5",0,21.5
2010-10-10,"St.Louis","Indianapolis",19,6,130,-360,9,7.5,42,44,"+ 9","- 9","+ 7.5","- 7.5",1,3.5
2010-10-10,"Atlanta","Detroit",44,20,-160,-150,3,3,3,3,"- 3","+ 3","- 3","+ 3",2.5,20.5
2010-10-10,"TampaBay","Cleveland",10,24,250,140,38.5,38.5,41.5,41.5,"+ 38.5","- 38.5","+ 38.5","- 38.5",19,20
2010-10-10,"Chicago","Cincinnati",21,23,130,-300,3,7,7,33,"+ 3","- 3","+ 7","- 7",3,16
2010-10-10,"GreenBay","Carolina",6,13,-145,-150,3,3,36,3,"+ 3","- 3","+ 3","- 3",0,0.5
2010-10-10,"NYGiants","Washington",16,34,150,125,43.5,45.5,48,48.5,"+ 43.5","- 43.5","+ 45.5","- 45.5",21.5,22.5
2010-10-10,"NewOrleans","Houston",10,20,-320,-170,3,3,6.5,7,"- 3","+ 3","- 3","+ 3",3,4
2010-10-10,"SanDiego","Arizona",30,27,-320,260,5.5,7,46.5,46,"- 5.5","+ 5.5","- 7","+ 7",7,22.5
2010-10-10,"Tennessee","Oakland",35,34,250,260,42,43.5,44.5,44,"- 42","+ 42","- 43.5","+ 43.5",21.5,22
2010-10-10,"Philadelphia","Dallas",27,27,155,-300,6.5,7,38,39.5,"+ 6.5","- 6.5","+ 7","- 7",6,20
2010-10-10,"Minnesota","SanFrancisco",24,20,175,-175,3,3.5,37,38.5,"+ 3","- 3","+ 3.5","- 3.5",3,17
2010-10-11,"SanDiego","NYJets",29,17,-400,-210,3,4,7.5,8.5,"- 3","+ 3","- 4","+ 4",2,7
2010-10-17,"KansasCity","St.Louis",20,31,175,325,44,45,44,46,"- 44","+ 44","- 45","+ 45",21.5,22
2010-10-17,"Baltimore","Houston",35,20,125,-210,3.5,4.5,46,44,"+ 3.5","- 3.5","+ 4.5","- 4.5",3.5,21.5
2010-10-17,"NewOrleans","NewEngland",23,31,-250,-145,3,3,6.5,5.5,"- 3","+ 3","- 3","+ 3",1.5,3
2010-10-17,"Atlanta","TampaBay",6,17,105,210,41.5,43,46,43.5,"- 41.5","+ 41.5","- 43","+ 43",3,20.5
2010-10-17,"Detroit","Philadelphia",31,20,425,-125,3,2,44.5,45.5,"+ 3","- 3","+ 2","- 2",21,21.5
2010-10-17,"Seattle","NYGiants",28,23,220,-550,10.5,10,37,37.5,"+ 10.5","- 10.5","+ 10","- 10",6,19
2010-10-17,"Miami","Chicago",20,23,140,-260,6.5,6,44,44,"+ 6.5","- 6.5","+ 6","- 6",4,21.5
2010-10-17,"Cleveland","GreenBay",20,10,650,-160,3,3,40,37.5,"+ 3","- 3","+ 3","- 3",3,17.5
2010-10-17,"NYJets","Pittsburgh",28,24,-200,-900,3,3.5,13,14,"+ 3","- 3","+ 3.5","- 3.5",2,7
2010-10-17,"Oakland","Denver",20,9,290,170,40,41,40.5,43,"+ 40","- 40","+ 41","- 41",19,21
2010-10-17,"Dallas","SanFrancisco",17,21,110,-350,6,7.5,44,43.5,"+ 6","- 6","+ 7.5","- 7.5",4.5,21.5
2010-10-17,"Indianapolis","Minnesota",24,27,-170,-130,1,1.5,4,3,"- 1","+ 1","- 1.5","+ 1.5",1.5,22.5
2010-10-17,"Tennessee","Washington",24,30,-155,150,3,3,44.5,45,"- 3","+ 3","- 3","+ 3",0,0
2010-10-18,"Pittsburgh","Jacksonville",3,23,-155,135,3,3,44.5,43.5,"- 3","+ 3","- 3","+ 3",2,20
